Age,Sex,mx
0,0,0.005462
1,0,0.00038
2,0,0.000225
3,0,0.000169
4,0,0.000138
5,0,0.000119
6,0,0.000106
7,0,0.000094
8,0,0.000099
9,0,0.000095
10,0,0.000094
11,0,0.000098
12,0,0.00011
13,0,0.000126
14,0,0.000152
15,0,0.00018
16,0,0.000231
17,0,0.000269
18,0,0.000322
19,0,0.000362
20,0,0.000387
21,0,0.000428
22,0,0.000446
23,0,0.000461
24,0,0.000487
25,0,0.000509
26,0,0.000547
27,0,0.00055
28,0,0.000595
29,0,0.000635
30,0,0.000668
31,0,0.000701
32,0,0.000748
33,0,0.000787
34,0,0.000846
35,0,0.000916
36,0,0.000964
37,0,0.001025
38,0,0.001108
39,0,0.001189
40,0,0.001289
41,0,0.001403
42,0,0.00155
43,0,0.001684
44,0,0.001849
45,0,0.002012
46,0,0.002248
47,0,0.002443
48,0,0.002677
49,0,0.002956
50,0,0.003216
51,0,0.003507
52,0,0.003786
53,0,0.004023
54,0,0.00436
55,0,0.00467
56,0,0.005022
57,0,0.00539
58,0,0.005724
59,0,0.006103
60,0,0.006579
61,0,0.007094
62,0,0.007692
63,0,0.008376
64,0,0.009132
65,0,0.009926
66,0,0.010817
67,0,0.011807
68,0,0.013003
69,0,0.014262
70,0,0.015712
71,0,0.017166
72,0,0.01874
73,0,0.020421
74,0,0.022629
75,0,0.025043
76,0,0.027751
77,0,0.030759
78,0,0.034072
79,0,0.037904
80,0,0.042329
81,0,0.047008
82,0,0.052499
83,0,0.058315
84,0,0.065539
85,0,0.073797
86,0,0.082574
87,0,0.093399
88,0,0.105567
89,0,0.119743
90,0,0.13661
91,0,0.152627
92,0,0.171825
93,0,0.191587
94,0,0.21591
95,0,0.239355
96,0,0.265724
97,0,0.292275
98,0,0.321674
99,0,0.346587
100,0,0.376656
101,0,0.409128
102,0,0.44358
103,0,0.477091
104,0,0.5042
105,0,0.544747
106,0,0.566724
107,0,0.55762
108,0,0.636758
109,0,0.659423
110,0,0.593686
0,1,0.006554
1,1,0.000442
2,1,0.000299
3,1,0.000225
4,1,0.000185
5,1,0.000146
6,1,0.000127
7,1,0.000128
8,1,0.000123
9,1,0.000124
10,1,0.000117
11,1,0.000134
12,1,0.000149
13,1,0.000184
14,1,0.00024
15,1,0.000319
16,1,0.000466
17,1,0.000615
18,1,0.000871
19,1,0.000999
20,1,0.00108
21,1,0.001216
22,1,0.001282
23,1,0.001287
24,1,0.001322
25,1,0.001327
26,1,0.001365
27,1,0.00136
28,1,0.001391
29,1,0.00143
30,1,0.001445
31,1,0.0015
32,1,0.001504
33,1,0.001557
34,1,0.00161
35,1,0.001643
36,1,0.001707
37,1,0.001778
38,1,0.001857
39,1,0.001987
40,1,0.00212
41,1,0.002276
42,1,0.002454
43,1,0.002623
44,1,0.002861
45,1,0.003149
46,1,0.003504
47,1,0.003891
48,1,0.004255
49,1,0.00467
50,1,0.005148
51,1,0.005604
52,1,0.006102
53,1,0.006632
54,1,0.007159
55,1,0.007858
56,1,0.008507
57,1,0.009118
58,1,0.009848
59,1,0.010525
60,1,0.011292
61,1,0.011997
62,1,0.012857
63,1,0.01364
64,1,0.014602
65,1,0.015526
66,1,0.016854
67,1,0.018143
68,1,0.01987
69,1,0.021487
70,1,0.023501
71,1,0.025437
72,1,0.027756
73,1,0.030133
74,1,0.032864
75,1,0.036118
76,1,0.039657
77,1,0.043706
78,1,0.047988
79,1,0.052732
80,1,0.058698
81,1,0.065032
82,1,0.072276
83,1,0.079377
84,1,0.088449
85,1,0.097701
86,1,0.108732
87,1,0.122047
88,1,0.137403
89,1,0.153935
90,1,0.174568
91,1,0.194076
92,1,0.21838
93,1,0.243922
94,1,0.269915
95,1,0.296257
96,1,0.328711
97,1,0.359188
98,1,0.388741
99,1,0.418796
100,1,0.458784
101,1,0.489988
102,1,0.532026
103,1,0.562926
104,1,0.58713
105,1,0.648958
106,1,0.587324
107,1,0.67011
108,1,0.611534
109,1,0.57107
110,1,0.520294
